"{-1.1315926535897933, 0.01, -0.3375952079684682}","{-1.1315926535897933, 0.21000000000000002, -0.3618918185810532}","{-1.1315926535897933, 0.41000000000000003, -0.43391128391643125}","{-1.1315926535897933, 0.6100000000000001, -0.6062842160112292}","{-1.1315926535897933, 0.81, -0.8200484345638475}","{-1.1315926535897933, 1.01, -1.2512088276127673}","{-1.1315926535897933, 1.2100000000000002, -1.6595356915646882}","{-1.1315926535897933, 1.4100000000000001, -2.20453362395495}","{-1.1315926535897933, 1.61, -2.575734139047321}","{-1.1315926535897933, 1.81, -2.918719694451685}","{-1.1315926535897933, 2.01, -3.146080051185166}","{-1.1315926535897933, 2.21, -3.1755867784716667}","{-1.1315926535897933, 2.41, -3.191155268726405}","{-1.1315926535897933, 2.61, -3.0982854752953646}","{-1.1315926535897933, 2.81, -2.9549736524139023}","{-1.1315926535897933, 3.01, -2.9626631990561707}"
"{-0.9315926535897934, 0.01, -0.3967631113535952}","{-0.9315926535897934, 0.21000000000000002, -0.4429636861176306}","{-0.9315926535897934, 0.41000000000000003, -0.5457294585409751}","{-0.9315926535897934, 0.6100000000000001, -0.746351885699306}","{-0.9315926535897934, 0.81, -1.0296239495525037}","{-0.9315926535897934, 1.01, -1.436258613710696}","{-0.9315926535897934, 1.2100000000000002, -1.896317578883391}","{-0.9315926535897934, 1.4100000000000001, -2.4161281194398003}","{-0.9315926535897934, 1.61, -2.8103658245033674}","{-0.9315926535897934, 1.81, -3.1327628264776832}","{-0.9315926535897934, 2.01, -3.2892043426523534}","{-0.9315926535897934, 2.21, -3.421466855096093}","{-0.9315926535897934, 2.41, -3.2955152040513394}","{-0.9315926535897934, 2.61, -3.248124636050891}","{-0.9315926535897934, 2.81, -3.0052336496510765}","{-0.9315926535897934, 3.01, -2.998611154612253}"
"{-0.731592653589793, 0.01, -0.48773389156626823}","{-0.731592653589793, 0.21000000000000002, -0.5235560062553073}","{-0.731592653589793, 0.41000000000000003, -0.654336887327551}","{-0.731592653589793, 0.6100000000000001, -0.9112495799043319}","{-0.731592653589793, 0.81, -1.2008198413337887}","{-0.731592653589793, 1.01, -1.688102780205765}","{-0.731592653589793, 1.2100000000000002, -2.139182100727628}","{-0.731592653589793, 1.4100000000000001, -2.662139505971803}","{-0.731592653589793, 1.61, -2.9965530065115518}","{-0.731592653589793, 1.81, -3.313253227117454}","{-0.731592653589793, 2.01, -3.4690135263739754}","{-0.731592653589793, 2.21, -3.4876478718055046}","{-0.731592653589793, 2.41, -3.3761308791499838}","{-0.731592653589793, 2.61, -3.268295319601968}","{-0.731592653589793, 2.81, -3.162179515762105}","{-0.731592653589793, 3.01, -3.0622675930775087}"
"{-0.531592653589793, 0.01, -0.5449680106585099}","{-0.531592653589793, 0.21000000000000002, -0.5953897999835184}","{-0.531592653589793, 0.41000000000000003, -0.7414204944931309}","{-0.531592653589793, 0.6100000000000001, -1.0749219617270849}","{-0.531592653589793, 0.81, -1.433719114844337}","{-0.531592653589793, 1.01, -1.8869543159355768}","{-0.531592653589793, 1.2100000000000002, -2.420045791677645}","{-0.531592653589793, 1.4100000000000001, -2.8785662496016657}","{-0.531592653589793, 1.61, -3.2253649313496884}","{-0.531592653589793, 1.81, -3.445998324143046}","{-0.531592653589793, 2.01, -3.6040303597014236}","{-0.531592653589793, 2.21, -3.539371624488057}","{-0.531592653589793, 2.41, -3.444932699546083}","{-0.531592653589793, 2.61, -3.230054420607285}","{-0.531592653589793, 2.81, -3.1859831226808626}","{-0.531592653589793, 3.01, -3.0839341268400524}"
"{-0.33159265358979306, 0.01, -0.5426511676571231}","{-0.33159265358979306, 0.21000000000000002, -0.611738884528362}","{-0.33159265358979306, 0.41000000000000003, -0.8018954257247807}","{-0.33159265358979306, 0.6100000000000001, -1.095286576304296}","{-0.33159265358979306, 0.81, -1.568592550589885}","{-0.33159265358979306, 1.01, -2.107355328465809}","{-0.33159265358979306, 1.2100000000000002, -2.6318843955746387}","{-0.33159265358979306, 1.4100000000000001, -3.0987155749309236}","{-0.33159265358979306, 1.61, -3.45749881366193}","{-0.33159265358979306, 1.81, -3.6199361152904155}","{-0.33159265358979306, 2.01, -3.6845831085343743}","{-0.33159265358979306, 2.21, -3.591258763976647}","{-0.33159265358979306, 2.41, -3.45804026469022}","{-0.33159265358979306, 2.61, -3.3417991025938223}","{-0.33159265358979306, 2.81, -3.209030267125045}","{-0.33159265358979306, 3.01, -3.1929200330350396}"
"{-0.13159265358979305, 0.01, -0.5538373593548007}","{-0.13159265358979305, 0.21000000000000002, -0.6614391451985473}","{-0.13159265358979305, 0.41000000000000003, -0.8212156192619956}","{-0.13159265358979305, 0.6100000000000001, -1.2599123442843208}","{-0.13159265358979305, 0.81, -1.7094568300985291}","{-0.13159265358979305, 1.01, -2.197857377294583}","{-0.13159265358979305, 1.2100000000000002, -2.7556604550832007}","{-0.13159265358979305, 1.4100000000000001, -3.250525415560011}","{-0.13159265358979305, 1.61, -3.584655024829067}","{-0.13159265358979305, 1.81, -3.755868046555029}","{-0.13159265358979305, 2.01, -3.694113689613653}","{-0.13159265358979305, 2.21, -3.624007575796427}","{-0.13159265358979305, 2.41, -3.4607118417663614}","{-0.13159265358979305, 2.61, -3.373039643739701}","{-0.13159265358979305, 2.81, -3.1618118171845424}","{-0.13159265358979305, 3.01, -3.2101815870144574}"
"{0.06840734641020685, 0.01, -0.58194351051265}","{0.06840734641020685, 0.21000000000000002, -0.6668464954005462}","{0.06840734641020685, 0.41000000000000003, -0.8595011538995784}","{0.06840734641020685, 0.6100000000000001, -1.23780518136692}","{0.06840734641020685, 0.81, -1.7055529218888485}","{0.06840734641020685, 1.01, -2.230168461922818}","{0.06840734641020685, 1.2100000000000002, -2.7420068276500142}","{0.06840734641020685, 1.4100000000000001, -3.2089698708586374}","{0.06840734641020685, 1.61, -3.6182952764453447}","{0.06840734641020685, 1.81, -3.799752166621456}","{0.06840734641020685, 2.01, -3.6542225154737484}","{0.06840734641020685, 2.21, -3.698392983836086}","{0.06840734641020685, 2.41, -3.4788420381447764}","{0.06840734641020685, 2.61, -3.396293229103799}","{0.06840734641020685, 2.81, -3.2172786604453485}","{0.06840734641020685, 3.01, -3.1225178215424836}"
"{0.26840734641020686, 0.01, -0.5384726087758671}","{0.26840734641020686, 0.21000000000000002, -0.6561260555620863}","{0.26840734641020686, 0.41000000000000003, -0.8233250257883229}","{0.26840734641020686, 0.6100000000000001, -1.1666852697864643}","{0.26840734641020686, 0.81, -1.6527436165084974}","{0.26840734641020686, 1.01, -2.1339644849799653}","{0.26840734641020686, 1.2100000000000002, -2.735220915776714}","{0.26840734641020686, 1.4100000000000001, -3.131410616466223}","{0.26840734641020686, 1.61, -3.442266354599323}","{0.26840734641020686, 1.81, -3.6546280096442647}","{0.26840734641020686, 2.01, -3.717957702284373}","{0.26840734641020686, 2.21, -3.5952513695100867}","{0.26840734641020686, 2.41, -3.5079684816460954}","{0.26840734641020686, 2.61, -3.308803234760495}","{0.26840734641020686, 2.81, -3.1858341117346685}","{0.26840734641020686, 3.01, -3.1305918432107016}"
"{0.46840734641020676, 0.01, -0.5389162339465512}","{0.46840734641020676, 0.21000000000000002, -0.6335620306935761}","{0.46840734641020676, 0.41000000000000003, -0.7946056364877855}","{0.46840734641020676, 0.6100000000000001, -1.074101207187182}","{0.46840734641020676, 0.81, -1.5075431012351959}","{0.46840734641020676, 1.01, -1.9564920557125527}","{0.46840734641020676, 1.2100000000000002, -2.5172088955303593}","{0.46840734641020676, 1.4100000000000001, -2.9480303626464073}","{0.46840734641020676, 1.61, -3.335771864374748}","{0.46840734641020676, 1.81, -3.5290966768881615}","{0.46840734641020676, 2.01, -3.608973440511363}","{0.46840734641020676, 2.21, -3.556265068713654}","{0.46840734641020676, 2.41, -3.392704092122434}","{0.46840734641020676, 2.61, -3.3192358838168166}","{0.46840734641020676, 2.81, -3.1877274289325452}","{0.46840734641020676, 3.01, -3.0810796659389643}"
"{0.6684073464102067, 0.01, -0.46911585028441627}","{0.6684073464102067, 0.21000000000000002, -0.52791026301796}","{0.6684073464102067, 0.41000000000000003, -0.6763939122318846}","{0.6684073464102067, 0.6100000000000001, -0.9174142287520173}","{0.6684073464102067, 0.81, -1.2973483138533903}","{0.6684073464102067, 1.01, -1.7568933108027367}","{0.6684073464102067, 1.2100000000000002, -2.2195799383644914}","{0.6684073464102067, 1.4100000000000001, -2.6757696288309765}","{0.6684073464102067, 1.61, -3.120833898571003}","{0.6684073464102067, 1.81, -3.342179109228315}","{0.6684073464102067, 2.01, -3.4938195174967834}","{0.6684073464102067, 2.21, -3.559834594833654}","{0.6684073464102067, 2.41, -3.394300139159602}","{0.6684073464102067, 2.61, -3.2909191068929755}","{0.6684073464102067, 2.81, -3.125111834128532}","{0.6684073464102067, 3.01, -3.077383555198967}"
"{0.8684073464102067, 0.01, -0.42235880329687037}","{0.8684073464102067, 0.21000000000000002, -0.4483649457067893}","{0.8684073464102067, 0.41000000000000003, -0.568054487779419}","{0.8684073464102067, 0.6100000000000001, -0.7787026108066397}","{0.8684073464102067, 0.81, -1.10991891272191}","{0.8684073464102067, 1.01, -1.5007372902861174}","{0.8684073464102067, 1.2100000000000002, -1.9933928756375354}","{0.8684073464102067, 1.4100000000000001, -2.4305991727696274}","{0.8684073464102067, 1.61, -2.8588484781904837}","{0.8684073464102067, 1.81, -3.1740608979059255}","{0.8684073464102067, 2.01, -3.3352934521019026}","{0.8684073464102067, 2.21, -3.3845258032122114}","{0.8684073464102067, 2.41, -3.3353849914569924}","{0.8684073464102067, 2.61, -3.222363952271282}","{0.8684073464102067, 2.81, -3.0591628478200317}","{0.8684073464102067, 3.01, -3.0111976121818995}"
