"{3., 0., -1.7029398929880006}","{3., 0.3, -1.9381254507242875}","{3., 0.6, -2.403314074055699}","{3., 0.8999999999999999, -2.830187312799753}","{3., 1.2, -3.095291452377313}","{3., 1.5, -3.1306603443695895}","{3., 1.7999999999999998, -2.966013533507868}","{3., 2.1, -2.5328534023154456}","{3., 2.4, -2.1145975971740567}","{3., 2.6999999999999997, -1.7637238809888196}","{3., 3., -1.628793972887097}","{3., 3.3, -1.8294161108772116}","{3., 3.5999999999999996, -2.2157120570326185}","{3., 3.9, -2.5887400636672506}","{3., 4.2, -3.0715960754512657}","{3., 4.5, -3.225993679512566}","{3., 4.8, -3.143675576761082}","{3., 5.1, -2.723887931612161}","{3., 5.3999999999999995, -2.3080802935073823}","{3., 5.7, -1.8632961378348796}","{3., 6., -1.6827683182952724}"
"{3.3, 0., -1.7269729872829538}","{3.3, 0.3, -1.6831090896933756}","{3.3, 0.6, -1.9157879488811005}","{3.3, 0.8999999999999999, -2.355373973359}","{3.3, 1.2, -2.870954712897881}","{3.3, 1.5, -3.0812452004927287}","{3.3, 1.7999999999999998, -3.2470079794688065}","{3.3, 2.1, -3.062092295997866}","{3.3, 2.4, -2.652890853162835}","{3.3, 2.6999999999999997, -2.1817498229929426}","{3.3, 3., -1.844651452603277}","{3.3, 3.3, -1.6267827356124345}","{3.3, 3.5999999999999996, -1.723395002939575}","{3.3, 3.9, -2.114737072385558}","{3.3, 4.2, -2.5678135631611925}","{3.3, 4.5, -2.9841482585786707}","{3.3, 4.8, -3.2475623153839477}","{3.3, 5.1, -3.1660211791239137}","{3.3, 5.3999999999999995, -2.9538558138963893}","{3.3, 5.7, -2.4005128315453983}","{3.3, 6., -1.95621733224904}"
"{3.5999999999999996, 0., -2.592611976094047}","{3.5999999999999996, 0.3, -2.210506482954977}","{3.5999999999999996, 0.6, -2.169266894799543}","{3.5999999999999996, 0.8999999999999999, -2.357502447756757}","{3.5999999999999996, 1.2, -2.7316798596288123}","{3.5999999999999996, 1.5, -3.131169466589987}","{3.5999999999999996, 1.7999999999999998, -3.52450604939201}","{3.5999999999999996, 2.1, -3.630261087621352}","{3.5999999999999996, 2.4, -3.458038080075589}","{3.5999999999999996, 2.6999999999999997, -3.2016949349722603}","{3.5999999999999996, 3., -2.7029063181756268}","{3.5999999999999996, 3.3, -2.337904238126157}","{3.5999999999999996, 3.5999999999999996, -2.193901285976496}","{3.5999999999999996, 3.9, -2.2637198568992623}","{3.5999999999999996, 4.2, -2.575957592886141}","{3.5999999999999996, 4.5, -3.0353154086721617}","{3.5999999999999996, 4.8, -3.416479118707}","{3.5999999999999996, 5.1, -3.6606460652514587}","{3.5999999999999996, 5.3999999999999995, -3.5940705421421386}","{3.5999999999999996, 5.7, -3.363434243081456}","{3.5999999999999996, 6., -2.9569010294523848}"
"{3.9, 0., -3.5597020504513956}","{3.9, 0.3, -3.2071427366962544}","{3.9, 0.6, -2.9629161666299293}","{3.9, 0.8999999999999999, -2.876643032017542}","{3.9, 1.2, -3.1042091864140184}","{3.9, 1.5, -3.3758066622076135}","{3.9, 1.7999999999999998, -3.779361630692042}","{3.9, 2.1, -4.072682422847409}","{3.9, 2.4, -4.211091994322403}","{3.9, 2.6999999999999997, -4.0558954053754785}","{3.9, 3., -3.6921314058328942}","{3.9, 3.3, -3.390316706804815}","{3.9, 3.5999999999999996, -3.020032426520521}","{3.9, 3.9, -2.865780435577672}","{3.9, 4.2, -3.016808500268997}","{3.9, 4.5, -3.1900728932494675}","{3.9, 4.8, -3.6624326917260017}","{3.9, 5.1, -3.978255323162304}","{3.9, 5.3999999999999995, -4.2157014904012025}","{3.9, 5.7, -4.141945925505233}","{3.9, 6., -3.8723258891529673}"
"{4.2, 0., -4.124077588590566}","{4.2, 0.3, -3.948737763457413}","{4.2, 0.6, -3.631825039987718}","{4.2, 0.8999999999999999, -3.4951533925847675}","{4.2, 1.2, -3.5551587311045294}","{4.2, 1.5, -3.6972995836056572}","{4.2, 1.7999999999999998, -3.9211554734487244}","{4.2, 2.1, -4.2292337847886134}","{4.2, 2.4, -4.343639443838898}","{4.2, 2.6999999999999997, -4.3347757271544864}","{4.2, 3., -4.283949029117977}","{4.2, 3.3, -4.00532334286167}","{4.2, 3.5999999999999996, -3.6819243773076717}","{4.2, 3.9, -3.5589094145264832}","{4.2, 4.2, -3.4085591769012735}","{4.2, 4.5, -3.579826141229424}","{4.2, 4.8, -3.7463125073502352}","{4.2, 5.1, -4.02769572199904}","{4.2, 5.3999999999999995, -4.292404739488094}","{4.2, 5.7, -4.362567488656062}","{4.2, 6., -4.312295236430418}"
"{4.5, 0., -3.98779991394316}","{4.5, 0.3, -3.9241273670602475}","{4.5, 0.6, -3.8089694495147954}","{4.5, 0.8999999999999999, -3.7436582739251603}","{4.5, 1.2, -3.6538350947048537}","{4.5, 1.5, -3.6566898437608675}","{4.5, 1.7999999999999998, -3.8485122580667634}","{4.5, 2.1, -3.9555080355907357}","{4.5, 2.4, -4.08774884360259}","{4.5, 2.6999999999999997, -4.133794439378698}","{4.5, 3., -4.08683599058703}","{4.5, 3.3, -3.9622082930660403}","{4.5, 3.5999999999999996, -3.843131887757557}","{4.5, 3.9, -3.8698122564782054}","{4.5, 4.2, -3.720352769000289}","{4.5, 4.5, -3.664808991614585}","{4.5, 4.8, -3.8365712049228344}","{4.5, 5.1, -3.864224331325075}","{4.5, 5.3999999999999995, -3.9877731767263116}","{4.5, 5.7, -4.026065047505061}","{4.5, 6., -4.073347826656821}"
"{4.8, 0., -3.30811783966234}","{4.8, 0.3, -3.309143373134015}","{4.8, 0.6, -3.285654939468361}","{4.8, 0.8999999999999999, -3.2821094009906546}","{4.8, 1.2, -3.265671173648143}","{4.8, 1.5, -3.349425272441058}","{4.8, 1.7999999999999998, -3.4548207200957197}","{4.8, 2.1, -3.4962071729063484}","{4.8, 2.4, -3.5099983856104577}","{4.8, 2.6999999999999997, -3.3584751350263247}","{4.8, 3., -3.4207915166319154}","{4.8, 3.3, -3.3050675024327223}","{4.8, 3.5999999999999996, -3.2910955026067}","{4.8, 3.9, -3.2307670204393224}","{4.8, 4.2, -3.3306005987559586}","{4.8, 4.5, -3.371228302964245}","{4.8, 4.8, -3.395972403014891}","{4.8, 5.1, -3.424905010233962}","{4.8, 5.3999999999999995, -3.4259316836023768}","{4.8, 5.7, -3.4298108805356238}","{4.8, 6., -3.443427772823168}"
"{5.1, 0., -2.6610324429976546}","{5.1, 0.3, -2.4732039210478076}","{5.1, 0.6, -2.3877912295905728}","{5.1, 0.8999999999999999, -2.366601704588865}","{5.1, 1.2, -2.5539870551954724}","{5.1, 1.5, -2.7216648801100285}","{5.1, 1.7999999999999998, -2.8201156152559603}","{5.1, 2.1, -2.9076768663915935}","{5.1, 2.4, -2.8795635506292947}","{5.1, 2.6999999999999997, -2.8447457567633205}","{5.1, 3., -2.6788511400063966}","{5.1, 3.3, -2.481323862549648}","{5.1, 3.5999999999999996, -2.400955207537508}","{5.1, 3.9, -2.386290444814859}","{5.1, 4.2, -2.431798911288431}","{5.1, 4.5, -2.5764827722080805}","{5.1, 4.8, -2.726088001547623}","{5.1, 5.1, -2.913004677472747}","{5.1, 5.3999999999999995, -2.917457429363899}","{5.1, 5.7, -2.8900806764030555}","{5.1, 6., -2.781480317792006}"
"{5.3999999999999995, 0., -2.163781539211249}","{5.3999999999999995, 0.3, -1.8482567033241928}","{5.3999999999999995, 0.6, -1.6500396332504979}","{5.3999999999999995, 0.8999999999999999, -1.5741507891571356}","{5.3999999999999995, 1.2, -1.6035463350837789}","{5.3999999999999995, 1.5, -1.877326636169322}","{5.3999999999999995, 1.7999999999999998, -2.07017496819825}","{5.3999999999999995, 2.1, -2.379985068077264}","{5.3999999999999995, 2.4, -2.4814749998825145}","{5.3999999999999995, 2.6999999999999997, -2.500206502934369}","{5.3999999999999995, 3., -2.280365369056975}","{5.3999999999999995, 3.3, -1.9882836809720605}","{5.3999999999999995, 3.5999999999999996, -1.7489644079264492}","{5.3999999999999995, 3.9, -1.5798445358341615}","{5.3999999999999995, 4.2, -1.580597313224294}","{5.3999999999999995, 4.5, -1.742838229621723}","{5.3999999999999995, 4.8, -1.9988311174027975}","{5.3999999999999995, 5.1, -2.3053264963180533}","{5.3999999999999995, 5.3999999999999995, -2.490445695357888}","{5.3999999999999995, 5.7, -2.4790851002644105}","{5.3999999999999995, 6., -2.3405291035325533}"
"{5.7, 0., -2.1339105664678732}","{5.7, 0.3, -1.7698725091474556}","{5.7, 0.6, -1.3318593289699456}","{5.7, 0.8999999999999999, -1.0604491028846357}","{5.7, 1.2, -0.9994142715647094}","{5.7, 1.5, -1.0969120493337277}","{5.7, 1.7999999999999998, -1.419747281045631}","{5.7, 2.1, -1.867337009300089}","{5.7, 2.4, -2.192881416137012}","{5.7, 2.6999999999999997, -2.3962536795625233}","{5.7, 3., -2.2257078790268094}","{5.7, 3.3, -1.9333957126271817}","{5.7, 3.5999999999999996, -1.474244913540435}","{5.7, 3.9, -1.1847574449456988}","{5.7, 4.2, -1.0059842820083427}","{5.7, 4.5, -1.0027724681790047}","{5.7, 4.8, -1.3143173430404607}","{5.7, 5.1, -1.6668821971965586}","{5.7, 5.3999999999999995, -2.0518903562754387}","{5.7, 5.7, -2.283745272134901}","{5.7, 6., -2.313715378893776}"
"{6., 0., -2.2602114573792833}","{6., 0.3, -1.9383274482317208}","{6., 0.6, -1.4846060071753802}","{6., 0.8999999999999999, -1.0282550329589912}","{6., 1.2, -0.7254301579984213}","{6., 1.5, -0.6625840734536568}","{6., 1.7999999999999998, -0.9536719709684132}","{6., 2.1, -1.3785628677099961}","{6., 2.4, -1.865664364006194}","{6., 2.6999999999999997, -2.240385191277423}","{6., 3., -2.315552349754637}","{6., 3.3, -2.1416830597260756}","{6., 3.5999999999999996, -1.7388250432311954}","{6., 3.9, -1.2119761239392937}","{6., 4.2, -0.8288093211661718}","{6., 4.5, -0.6520095879556408}","{6., 4.8, -0.7921951852278699}","{6., 5.1, -1.1770810763683146}","{6., 5.3999999999999995, -1.6313875132076316}","{6., 5.7, -2.083704153570482}","{6., 6., -2.317503203643708}"
