"{0.}","{0.}","{0.}","{0.}"
"{-7.204082791640645}","{-1.1721413319370089*^-17}","{0.}","{0.}"
"{5.389616530848684*^-10}","{2.7524612386146233*^-15}","{3.082891047207225*^-16}","{0.}"
"{-21.346161540255313}","{9.041301932800792*^-7}","{9.041301932800792*^-7}","{6.571548348626997*^-17}"
